,gender_word,verb,relation,gender
722,她们,谈话,nsubj,female
723,她们,宠,nsubj,female
724,妈妈,像,pobj,female
725,她们,叮嘱,dobj,female
726,女孩,是,attr,female
727,他们,等待,nsubj,male
728,他们,等到,nsubj,male
729,先生,课,assmod,male
730,他,让,nsubj,male
731,他,似,nsubj,male
732,先生,似,dobj,male
733,他,有,top,male
734,他,听,dobj,male
735,男,孩子,amod,male
736,他们,一样,nsubj,male
737,他,听罢,nsubj,male
738,女儿,想到,dobj,female
739,她,眼睛,nn,female
740,他们,是,nsubj,male
741,男子,感,dobj,male
742,男孩,如,pobj,male
743,他们,受,nsubj,male
744,她,代替,nsubj,female
745,男孩,去,nsubj,male
746,女,们,nn,female
747,她,用,nsubj,female
748,他,助理,assmod,male
749,她,念书,nsubj,female
750,她,寄给,dobj,female
751,她,出来,nsubj,female
752,他们,死亡,conj,male
753,她,打算,nsubj,female
754,她,传给,dobj,female
755,她,以为,nsubj,female
756,她,待,nsubj,female
757,阿公,做,dobj,male
758,阿公,陪,dobj,male
759,她,带,nsubj,female
760,她,特有,nn,female
761,她,问,nsubj,female
762,他们,爱,nsubj,male
763,他们,必要性,assmod,male
764,她,丈夫,dep,female
765,她,介意,nsubj,female
766,她,为,pobj,female
767,小姐,倚,nsubj,female
768,他们,做,nsubj,male
769,妈妈,看,dobj,female
770,舅妈,想起,dobj,female
771,他们,离婚,nsubj,male
772,她,和,pobj,female
773,她,睡,nsubj,female
774,妈妈,洗拭,nsubj,female
775,爸爸,给,pobj,male
776,爸爸,看到,nsubj,male
777,他们,识,nsubj,male
778,他们,是,top,male
779,他,有,top,male
780,他们,乡音,assmod,male
781,他们,屋,assmod,male
782,他,替,pobj,male
783,他,送,nsubj,male
784,他,教,nsubj,male
785,他,记得,nsubj,male
786,他们,熟识,nsubj,male
787,他,肯定,nsubj,male
788,他们,妻子,assmod,male
789,他,嫁,dep,male
790,他们,忘记,dobj,male
791,男性,中,lobj,male
792,女友,与,pobj,female
793,爸爸,蹲,nsubj,male
794,爸爸,有,top,male
795,男,孩子,amod,male
796,他,注意,nsubj,male
797,他,令,dobj,male
798,他们,应,nsubj,male
799,爸爸,爱,nsubj,male
800,他,要,dobj,male
801,他们,朋友,nn,male
802,叔叔,像,nsubj,male
803,他,是,top,male
804,男,主人,amod,male
805,她,劝,dobj,female
806,她,走回,nsubj,female
807,她,相信,top,female
808,他,书,nn,male
809,父亲,下来,nsubj,male
810,她,问,nsubj,female
811,她,指,nsubj,female
812,她,念,nsubj,female
813,她,家,nn,female
814,她,点点头,nsubj,female
