,gender_word,verb,relation,gender
3979,她,问,nsubj,female
3980,他,帅,nsubj,male
3981,他,讲话,nsubj,male
3982,他,所属,nsubj,male
3983,他,政党,assmod,male
3984,他们,话,assmod,male
3985,他,受,nsubj,male
3986,他们,说,nsubj,male
3987,他们,前辈,assmod,male
3988,他们,得到,nsubj,male
3989,他,牺牲,nsubj,male
3990,他,支持,dobj,male
3991,他,票,dep,male
3992,他,拯救,nsubj,male
3993,他,预料,nsubj,male
3994,他们,勾,nsubj,male
3995,他们,有,nsubj,male
3996,他们,健忘,nsubj,male
3997,她,像,pobj,female
3998,女,立委,amod,female
3999,她,拥有,nsubj,female
4000,她,爱,nsubj,female
4001,她,爱,nsubj,female
4002,他,投,dobj,male
4003,他,上,nsubj,male
4004,他,跟,pobj,male
4005,他,身后,dep,male
4006,他,人员,assmod,male
4007,他们,更新,nsubj,male
4008,女孩,像,pobj,female
4009,她,有,nsubj,female
4010,他们,给,pobj,male
4011,他,献给,nsubj,male
4012,他,看成,nsubj,male
4013,他,住,top,male
4014,他,监视,dobj,male
4015,他,缴,nsubj,male
4016,他,抛向,nsubj,male
4017,她,观察,nsubj,female
4018,他们,经历,nsubj,male
4019,他们,出来,nsubj,male
4020,他们,表达,nsubj,male
4021,女,像,dobj,female
4022,女,像,nsubj,female
4023,女生,多,nsubj,female
4024,她,告诉,dobj,female
4025,她,期待,nsubj,female
4026,她,告诉,dobj,female
4027,男人,有,nsubj,male
4028,他,临场,nsubj,male
4029,他,老婆,nn,male
4030,他,抚慰,dobj,male
4031,她,佐以,nsubj,female
4032,她,访谈,dobj,female
4033,她,手,dep,female
4034,女人,送给,dobj,female
4035,她,交给,dobj,female
4036,女人,选购,dobj,female
4037,她,介意,nsubj,female
4038,她,为,pobj,female
4039,小姐,手表,nn,female
4040,男人,女人,dep,male
4041,女人,推,nsubj,female
4042,男人,左右,nsubj,male
4043,女人,穿,nsubj,female
4044,妹妹,走,nsubj,female
4045,他们,称,dobj,male
4046,女,像,nsubj,female
4047,女,主管,amod,female
4048,小姐,为,pobj,female
4049,他们,打扮,nn,male
4050,他们,专注,nsubj,male
4051,他们,起身,nsubj,male
4052,女,员,amod,female
4053,女,望,nsubj,female
4054,女,伸手,nsubj,female
4055,他,替,pobj,male
4056,他们,为,pobj,male
4057,他们,吵,nsubj,male
4058,女,剪,nsubj,female
4059,他们,缴交,nsubj,male
4060,他们,卖给,dobj,male
4061,先生,替,pobj,male
4062,他们,贷,nsubj,male
4063,他们,予,pobj,male
4064,他们,领地,assmod,male
4065,他们,播种,nsubj,male
4066,他们,抽取,nsubj,male
4067,女人,惊动,dobj,female
4068,她,弯,nsubj,female
4069,女子,尺寸,assmod,female
4070,男孩,仿佛,dobj,male
4071,他,做,nsubj,male
4072,他,功过,assmod,male
4073,他们,先生,dep,male
4074,女士,先生,dep,female
4075,先生,称呼,dobj,male
4076,他们,区分,nsubj,male
4077,他们,散落,nsubj,male
4078,他,是,nsubj,male
4079,她,他,prnmod,female
4080,她,告诉,nsubj,female
4081,她,天人交战,nsubj,female
4082,他,们,dep,male
4083,她,们,dep,female
4084,他们,是,nsubj,male
4085,他们,接近,nsubj,male
4086,他们,累积,nsubj,male
4087,他们,灵魂,nn,male
4088,他,是,nsubj,male
4089,母亲,好友,nn,female
4090,他们,特色,nn,male
4091,男人,交给,nsubj,male
4092,他,家,nn,male
4093,他,帮,dobj,male
4094,他,遗书,assmod,male
